index,name,description,author,year
0,The Time Machine,A man travels through time and witnesses the evolution of humanity.,H.G. Wells,1895
1,Ender's Game,A young boy is trained to become a military leader in a war against an alien race.,Orson Scott Card,1985
2,Brave New World,A dystopian society where people are genetically engineered and conditioned to conform to a strict social hierarchy.,Aldous Huxley,1932
3,An Absolutely Remarkable Thing,A young woman becomes famous after discovering a mysterious alien artifact in New York City.,Hank Green,2018
4,Dune,A desert planet is the site of political intrigue and power struggles.,Frank Herbert,1965
5,Foundation,A mathematician develops a science to predict the future of humanity and works to save civilization from collapse.,Isaac Asimov,1951
6,Snow Crash,A futuristic world where the internet has evolved into a virtual reality metaverse.,Neal Stephenson,1992
7,Neuromancer,A hacker is hired to pull off a near-impossible hack and gets pulled into a web of intrigue.,William Gibson,1984
8,The War of the Worlds,A Martian invasion of Earth throws humanity into chaos.,H.G. Wells,1898
9,The Hunger Games,A dystopian society where teenagers are forced to fight to the death in a televised spectacle.,Suzanne Collins,2008
10,The Andromeda Strain,A deadly virus from outer space threatens to wipe out humanity.,Michael Crichton,1969
11,The Left Hand of Darkness,A human ambassador is sent to a planet where the inhabitants are genderless and can change gender at will.,Ursula K. Le Guin,1969
12,The Time Traveler's Wife,A love story between a man who involuntarily time travels and the woman he loves.,Audrey Niffenegger,2003
